IndName,IndCode,Direction,IndWeight,IntUnit,Agg_KC,Agg_NC,Agg_OBJ
5.1.b.1   bC22,5.1.b.1 _ bC22,1,1,pcannchg,ValueAdded,FosterEconDev,Competitiveness
5.1.b.1   bC31,5.1.b.1 _ bC31,1,1,pcannchg,ValueAdded,FosterEconDev,Competitiveness
5.1.b.1   bchem,5.1.b.1 _ bchem,1,1,pcannchg,ValueAdded,FosterEconDev,Competitiveness
5.1.b.1   bD3511,5.1.b.1 _ bD3511,1,1,pcannchg,ValueAdded,FosterEconDev,Competitiveness
5.1.b.1   Biod,5.1.b.1 _ Biod,1,1,pcannchg,ValueAdded,FosterEconDev,Competitiveness
5.1.b.1   Bioeth,5.1.b.1 _ Bioeth,1,1,pcannchg,ValueAdded,FosterEconDev,Competitiveness
5.1.b.1   C10,5.1.b.1 _ C10,1,1,pcannchg,ValueAdded,FosterEconDev,Competitiveness
5.1.b.1   C11,5.1.b.1 _ C11,1,1,pcannchg,ValueAdded,FosterEconDev,Competitiveness
5.1.b.1   C12,5.1.b.1 _ C12,1,1,pcannchg,ValueAdded,FosterEconDev,Competitiveness
5.1.b.2   A01,5.1.b.2 _ A01,1,1,pcannchg,ValueAdded,FosterEconDev,Competitiveness
5.1.b.2   A02,5.1.b.2 _ A02,1,1,pcannchg,ValueAdded,FosterEconDev,Competitiveness
5.1.b.2   A03,5.1.b.2 _ A03,1,1,pcannchg,ValueAdded,FosterEconDev,Competitiveness
5.1.b.2   bC13,5.1.b.2 _ bC13,1,1,pcannchg,ValueAdded,FosterEconDev,Competitiveness
5.1.b.2   bC14,5.1.b.2 _ bC14,1,1,pcannchg,ValueAdded,FosterEconDev,Competitiveness
5.1.b.2   bC15,5.1.b.2 _ bC15,1,1,pcannchg,ValueAdded,FosterEconDev,Competitiveness
5.1.b.2   bC16,5.1.b.2 _ bC16,1,1,pcannchg,ValueAdded,FosterEconDev,Competitiveness
5.1.b.2   bC17,5.1.b.2 _ bC17,1,1,pcannchg,ValueAdded,FosterEconDev,Competitiveness
5.1.b.2   bC21,5.1.b.2 _ bC21,1,1,pcannchg,ValueAdded,FosterEconDev,Competitiveness
5.1.b.2   bC22,5.1.b.2 _ bC22,1,1,pcannchg,ValueAdded,FosterEconDev,Competitiveness
5.1.b.2   bC31,5.1.b.2 _ bC31,1,1,pcannchg,ValueAdded,FosterEconDev,Competitiveness
5.1.b.2   bchem,5.1.b.2 _ bchem,1,1,pcannchg,ValueAdded,FosterEconDev,Competitiveness
5.1.b.2   bD3511,5.1.b.2 _ bD3511,1,1,pcannchg,ValueAdded,FosterEconDev,Competitiveness
5.1.b.2   Biod,5.1.b.2 _ Biod,1,1,pcannchg,ValueAdded,FosterEconDev,Competitiveness
5.1.b.2   Bioeth,5.1.b.2 _ Bioeth,1,1,pcannchg,ValueAdded,FosterEconDev,Competitiveness
5.1.b.2   C10,5.1.b.2 _ C10,1,1,pcannchg,ValueAdded,FosterEconDev,Competitiveness
5.1.b.2   C11,5.1.b.2 _ C11,1,1,pcannchg,ValueAdded,FosterEconDev,Competitiveness
5.1.b.2   C12,5.1.b.2 _ C12,1,1,pcannchg,ValueAdded,FosterEconDev,Competitiveness
5.2.a.1   A01,5.2.a.1 _ A01,1,1,pcannchg,Employment,InclGrowth,Competitiveness
5.2.a.1   A02,5.2.a.1 _ A02,1,1,pcannchg,Employment,InclGrowth,Competitiveness
5.2.a.1   A03,5.2.a.1 _ A03,1,1,pcannchg,Employment,InclGrowth,Competitiveness
5.2.a.1   bC13,5.2.a.1 _ bC13,1,1,pcannchg,Employment,InclGrowth,Competitiveness
5.2.a.1   bC14,5.2.a.1 _ bC14,1,1,pcannchg,Employment,InclGrowth,Competitiveness
5.2.a.1   bC15,5.2.a.1 _ bC15,1,1,pcannchg,Employment,InclGrowth,Competitiveness
5.2.a.1   bC16,5.2.a.1 _ bC16,1,1,pcannchg,Employment,InclGrowth,Competitiveness
5.2.a.1   bC17,5.2.a.1 _ bC17,1,1,pcannchg,Employment,InclGrowth,Competitiveness
5.2.a.1   bC21,5.2.a.1 _ bC21,1,1,pcannchg,Employment,InclGrowth,Competitiveness
5.2.a.1   bC22,5.2.a.1 _ bC22,1,1,pcannchg,Employment,InclGrowth,Competitiveness
5.2.a.1   bC31,5.2.a.1 _ bC31,1,1,pcannchg,Employment,InclGrowth,Competitiveness
5.2.a.1   bchem,5.2.a.1 _ bchem,1,1,pcannchg,Employment,InclGrowth,Competitiveness
5.2.a.1   bD3511,5.2.a.1 _ bD3511,1,1,pcannchg,Employment,InclGrowth,Competitiveness
5.2.a.1   Biod,5.2.a.1 _ Biod,1,1,pcannchg,Employment,InclGrowth,Competitiveness
5.2.a.1   Bioeth,5.2.a.1 _ Bioeth,1,1,pcannchg,Employment,InclGrowth,Competitiveness
5.2.a.1   C10,5.2.a.1 _ C10,1,1,pcannchg,Employment,InclGrowth,Competitiveness
5.2.a.1   C11,5.2.a.1 _ C11,1,1,pcannchg,Employment,InclGrowth,Competitiveness
5.2.a.1   C12,5.2.a.1 _ C12,1,1,pcannchg,Employment,InclGrowth,Competitiveness
