geo_code,time,value,type,indicator_id
SK,2007,0.74,fellings,2.2.a.1
SK,2008,0.78,fellings,2.2.a.1
SK,2009,0.77,fellings,2.2.a.1
SK,2010,0.84,fellings,2.2.a.1
SK,2011,0.78,fellings,2.2.a.1
SK,2012,0.72,fellings,2.2.a.1
SK,2013,0.68,fellings,2.2.a.1
SK,2014,0.74,fellings,2.2.a.1
SK,2015,0.69,fellings,2.2.a.1
FI,2000,0.76,fellings,2.2.a.1
FI,2001,0.71,fellings,2.2.a.1
FI,2002,0.73,fellings,2.2.a.1
FI,2003,0.73,fellings,2.2.a.1
FI,2004,0.72,fellings,2.2.a.1
FI,2005,0.69,fellings,2.2.a.1
FI,2006,0.67,fellings,2.2.a.1
FI,2007,0.74,fellings,2.2.a.1
FI,2008,0.68,fellings,2.2.a.1
FI,2009,0.57,fellings,2.2.a.1
FI,2010,0.68,fellings,2.2.a.1
FI,2011,0.68,fellings,2.2.a.1
FI,2012,0.66,fellings,2.2.a.1
FI,2013,0.74,fellings,2.2.a.1
FI,2014,0.73,fellings,2.2.a.1
FI,2015,0.75,fellings,2.2.a.1
SE,2000,0.73,fellings,2.2.a.1
SE,2001,0.73,fellings,2.2.a.1
SE,2002,0.76,fellings,2.2.a.1
SE,2003,0.77,fellings,2.2.a.1
SE,2004,0.77,fellings,2.2.a.1
SE,2005,1.02,fellings,2.2.a.1
SE,2006,0.73,fellings,2.2.a.1
SE,2007,0.91,fellings,2.2.a.1
SE,2008,0.81,fellings,2.2.a.1
SE,2009,0.75,fellings,2.2.a.1
SE,2010,0.82,fellings,2.2.a.1
SE,2011,0.81,fellings,2.2.a.1
SE,2012,0.79,fellings,2.2.a.1
SE,2013,0.80,fellings,2.2.a.1
SE,2014,0.83,fellings,2.2.a.1
SE,2015,0.82,fellings,2.2.a.1
